"Boundary
Code",Road Code,Road Name,Selection
BC166,R00020NR,Jct Murcia-Cansilayan-Damsite-Abuanan-Bago City Rd,1
BC171,R00020NR,Jct Murcia-Cansilayan-Damsite-Abuanan-Bago City Rd,1
BC155,R00020PN,Bugasong-Valderrama Rd,1
BC124,R00020PW,Aramaywan-Berong-Pto Princesa Rd,1
BC125,R00020PW,Aramaywan-Berong-Pto Princesa Rd,1
BC196,R00020SM,Catarman Div Rd 2,1
BC126,R00020TL,Batiano-Poctoy Port Rd,1
BC174,R00021BH,Jct (LIR) Buenavista-Carmen-Danao-Jetafe Rd,1
BC173,R00021BH,Jct (LIR) Buenavista-Carmen-Danao-Jetafe Rd,1
BC183,R00021CB,Escario St,1
BC145,R00021LZ,Sagnay-Nato Rd,1
BC149,R00021MT,Masbate City Coastal Rd,1
BC171,R00021NR,Jct Sn Enrique-Pontevedra By-Pass Rd,1
BC155,R00021PN,Sn Jose Port Rd,1
BC123,R00021PW,Jct Paglaum-Bato Rd,1
BC196,R00021SM,Sn Antonio Circumferential Rd,1
BC126,R00021TL,Concepcion East-West Rd,1
BC192,R00022LT,Burauen-Mahagnao Rd,1
BC149,R00022MT,"Poblacion, Balud-Talisay Rd",1
BC169,R00022NR,Jct Bagonawa-La Castellana-Isabela Rd,1
BC171,R00022NR,Jct Bagonawa-La Castellana-Isabela Rd,1
BC155,R00022PN,Alangan-Cubay-Sibalom Rd,1
BC124,R00022PW,PPSR Jct-Poblacion Brookes Pt Rd,1
BC196,R00022SM,Catarman-Calbayog Rd,1
BC126,R00022TL,Jct. TCR-Batiano Complex Rd,1
BC183,R00023CB,Civic Ctr Rd I,1
BC145,R00023LZ,Tigaon-Goa-Sn Jose-Lagonoy-Guijalo via Sn Vicente Rd,1
BC150,R00023MT,"Daraga, Placer-Cawayan Rd",1
BC171,R00023NR,Jct Palencia-Boy Scout Campsite Rd,1
BC155,R00023PN,Pacita-La Paz Drive,1
BC125,R00023PW,PPSR Jct-Napsan-Apurawan Rd,1
BC196,R00023SM,Rosario Rd,1
BC126,R00023TL,Tugdan Airport Road Extension,1
BC183,R00024CB,Civic Ctr Rd II,1
BC192,R00024LT,Mayorga-Lapaz Rd,1
BC145,R00024LZ,Goa-Digdigon-Sn Isidro Rd,1
BC150,R00024MT,Poblacion-Mahayahay Port Rd,1
BC169,R00024NR,Jct Pontevedra-La Castellana Rd,1
BC171,R00024NR,Jct Pontevedra-La Castellana Rd,1
BC123,R00024PW,Roxas Diversion Rd,1
BC196,R00024SM,Sn Jose Old Rd,1
BC183,R00025CB,Fuente Osmeña Rd,1
BC192,R00025LT,Dulag-Julita-Burauen Rd,1
BC145,R00025LZ,Lagonoy-Presentacion Rd,1
BC150,R00025MT,Jct Morning-Cataingan-Esperanza-Sorosimbahan Rd,1
BC185,R00025NR,Vallehermoso-Canlaon City-La Castellana Rd,1
BC169,R00025NR,Vallehermoso-Canlaon City-La Castellana Rd,1
BC165,R00025PN,Iloilo-Capiz Rd (New Route),1
BC164,R00025PN,Iloilo-Capiz Rd (New Route),1
BC157,R00025PN,Iloilo-Capiz Rd (New Route),1
BC158,R00025PN,Iloilo-Capiz Rd (New Route),1
BC196,R00025SM,Bobon Old Rd,1
BC183,R00026CB,RR Landon St,1
BC150,R00026MT,Mintac Port Rd,1
BC162,R00026PN,Iloilo East Coast-Capiz Rd,1
BC164,R00026PN,Iloilo East Coast-Capiz Rd,1
BC163,R00026PN,Iloilo East Coast-Capiz Rd,1
BC157,R00026PN,Iloilo East Coast-Capiz Rd,1
BC196,R00026SM,Mondragon-Bantayan Old Rd,1
BC173,R00027BH,Ubay-Cadre Rd,1
BC183,R00027CB,Imus Rd,1
BC193,R00027LT,Belen-Consuegra Rd,1
BC170,R00027NR,Kabankalan-Bais Rd,1
BC165,R00027PN,Iloilo-Capiz Rd (Old Route),1
BC158,R00027PN,Iloilo-Capiz Rd (Old Route),1
BC161,R00027PN,Iloilo-Capiz Rd (Old Route),1
BC164,R00027PN,Iloilo-Capiz Rd (Old Route),1
BC123,R00027PW,El Nido-Jct New Ibahay Rd,1
BC197,R00027SM,Sn Roque-Cababtoan Old Rd,1
BC173,R00028BH,Jct (TNR)-Talibon Rd,1
BC183,R00028CB,B Rodriguez St,1
BC184,R00028CB,B Rodriguez St,1
BC193,R00028LT,Sambulawan Jct-Calaguise-Calubian Rd,1
BC146,R00028LZ,Baao-Iriga City-Nabua Rd,1
BC170,R00028NR,Kabankalan Jct Salong-Tapi-Dacongcogon-Bantayan Rd,1
BC157,R00028PN,Jct Natl Rd Cuartero-Tapulang-Maayon Rd,1
BC158,R00028PN,Jct Natl Rd Cuartero-Tapulang-Maayon Rd,1
BC125,R00028PW,Puerto Princesa South Diversion Rd,1
BC197,R00028SM,Rawis-Catubig Rd,1
BC193,R00029LT,Tabango-Catmon-La Fortuna-Manlawaan-Gimarco Rd,1
BC146,R00029LZ,Bato-Poblacion Rd,1
