"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS60074MN,FB85002MN,Br.1,0
FS29403MN,FB00234MN,San Lorenzo Br.,0
FS15157MN,FB00122MN,Bridge 2,0
FS15157MN,FB00125MN,Bridge 5,0
FS15157MN,FB00121MN,Bridge 1,0
FS15157MN,FB00124MN,Bridge 4,0
FS15157MN,FB00126MN,Bridge 6,0
FS15157MN,FB00123MN,Bridge 3,0
FS15099MN,FB18099MN,Bridge 1,0
FS15099MN,FB15099MN,Bridge 2021,0
FS15104MN,FB15114MN,Bridge 1,0
FS15104MN,FB15104MN,Bridge 1,0
FS15104MN,FB18804MN,Bridge 3,0
FS15104MN,FB18004MN,Bridge 2,0
FS15104MN,FB10804MN,Bridge 4,0
FS15104MN,FB57040MN,Br. 1_2023,0
FS20463MN,FB17663MN,Bridge 1,0
FS30408MN,FB45603MN,Bridge 1,0
FS30408MN,FB45604MN,Bridge 2,0
FS15218MN,FB00145MN,Bridge 1,0
FS30402MN,FB15107MN,Bridge 3,0
FS30402MN,FB15109MN,Bridge 5,0
FS30402MN,FB45605MN,Bridge 1,0
FS30402MN,FB15108MN,Bridge 4,0
FS30402MN,FB57051MN,Br. 1_2023,0
FS15075MN,FB15075MN,Bridge 1,0
FS30402MN,FB45602MN,Tagoloan Br. 3,0
FS22349MN,FB00251MN,Bridge 1,0
FS15081MN,FB15082MN,Bridge 2,0
FS15081MN,FB15081MN,Bridge 1,0
FS15081MN,FB45601MN,Igpit Br.,0
FS15081MN,FB46202MN,Bulao Br.,0
FS15075MN,FB46801MN,Balingoan Br.,0
FS15190MN,FB13227MN,Bridge 1,0
FS15190MN,FB15910MN,Bridge 1,0
FS15075MN,FB92773MN,Claveria Balingoan Bypass Bridge,0
S00519MN,FB70121MN,Laguindingan Flyover,0
FS20459MN,FB17659MN,Bridge 1,0
FS15218MN,FB15218MN,Cagayan de Oro Coastal Road (Gusa-Igpit Section),0
FS22323MN,FB00208MN,Br. 7,0
FS22323MN,FB00209MN,Br. 8,0
FS22323MN,FB00210MN,Br. 9,0
FS22323MN,FB00207MN,Br. 6,0
FS22323MN,FB00211MN,Br. 10,0
FS22352MN,FB00259MN,Bridge 2,0
FS22352MN,FB57014MN,Br. 1_2023,0
FS00075MN,FB00256MN,Bridge 5,0
FS00075MN,FB00257MN,Bridge 6,0
FS30401MN,FB70140MN,Bridge 1,0
S00001CG,FB00001CG,Dinangasan Br.,0
S00275MN,FB00640MN,New Ilo-ilo Br.,0
S00297MN,FB50003MN,New NED Br.,0
S00838MN,FB00642MN,New NED Br.,0
FS15198MN,FB15236MN,Bridge 1,0
S00296MN,FB00037MN,New Tupi Br.,0
S00298MN,FB00036MN,Kreyos Br. II,0
S00838MN,FB00643MN,Kreyos Br. II,0
S00296MN,FB00038MN,New Sungan Br.,0
S00838MN,FB00641MN,New Sungan Br.,0
FS33602MN,FB33303MN,Bridge 2019_A,0
S00838MN,FB32350MN,New Ilo-ilo Br.,0
S00838MN,FB01895MN,Datal Lawa Br. 2,0
FS14022MN,FB14022MN,Bridge 1,0
FS33601MN,FB50401MN,Bridge 1,0
FS00820MN,FB32353MN,Lamsual Br.,0
FS20482MN,FB14021MN,Bridge 1,0
FS15221MN,FB15221MN,Bridge 1,0
FS26303MN,FB26304MN,Madaum Br.,0
FS70000MN,FB70000MN,Tagum City Flyover,0
FS26303MN,FB26303MN,San Isidro Br.,0
FS20285MN,FB21285MN,Bridge 1,0
FS30110MN,FB47414MN,Taban Br.,0
FS30110MN,FB47410MN,Taboy Br.,0
FS30110LZ,FB33110LZ,Bridge 1,0
FS30110LZ,FB33005LZ,Bridge 3,0
FS30110LZ,FB30110LZ,Bridge 1,0
FS30110LZ,FB30111LZ,Bridge 2,0
FS00804MN,FB00617MN,Tagum City Viaduct,0
